Timestamp,Em qual Estado você mora?,Em qual cidade você mora?,Qual o seu sexo?,Qual a sua faixa etária?,Qual o seu nível de formação?,"Se você fez pelo menos graduação, qual a sua área de formação?",Em que tipo de organização você trabalha?,A organização na qual você trabalha atua em que área?,Qual a sua principal ocupação/cargo?,Quantos anos de experiência você possui em Visualização de dados?,Em que proporção você trabalha com Visualização de Dados?,Você foi contratado para trabalhar somente com Visualização de Dados?,"Das funções abaixo, qual a melhor descreve você no seu trabalho?",Qual a sua faixa salarial mensal?,Como a sua organização usa Visualização de Dados? Escolha todas as opções que se aplicam,Que tipo de métodos/ferramentas você usa na sua organização para criar visualizações? Marque todas as que você utiliza.,Você tem poder de decisão para escolher as ferramentas de trabalho?,Que tecnologias você usa para visualizar dados?,Você é obrigado(a) a trabalhar com ferramentas ou tecnologias de que não gosta?,Que outras tecnologias você gostaria de usar para criar visualizações?,Como você apresenta suas visualizações? Selecione todas as opções que se aplicam.,Que tipos de gráficos você produziu nos últimos 6 meses?,Quem é o público que vê as suas visualizações?,Que nível de conhecimento em visualização o seu público possui?,Qual o objetivo do seu público com relação a suas visualizações?,Você aprendeu Visualização de Dados de modo formal na escola/universidade ou sozinho(a)?,Quais são as melhores formas para aprender visualização de dados?,Você participou de algum curso/workshop em visualização de dados nos últimos 12 meses?,Que outras habilidades/competências você considera importantes para atuar em Visualização de dados?,Você compartilha os seus conhecimentos de Visualização de Dados?,"Se você respondeu sim à pergunta acima, de que forma você compartilha seus conhecimentos?",Você participa de alguma sociedade ou grupo de estudos voltado para Visualização de dados?,"Se você respondeu sim à pergunta acima, qual(is)?"
10/3/2019 16:01:50,São Paulo (SP),São Paulo,Masculino,Entre 35 e 45 anos,Graduação,Jornalismo,Sou trabalhador autônomo (free-lancer),Um pouco de cada,"Analista de dados, empreendedor",13,"Visualização de dados tem um papel secundário, mas não é o foco do meu trabalho","Não, Visualização de Dados é apenas uma das minhas atribuições",Analista,Entre R$10.000 e R$15.000,"Análise, Machine Learning, Comunicação, Educação, Business intelligence","Ferramentas de Visualização Analítica (Tableau, PowerBI, Qlik, etc.), Ferramentas de Visualização na Web (RAWGraphs, Flourish, etc.), Notebooks interativos (tipo Observable, jupyter, ipython, etc), Bibliotecas de gráficos (plotly, highcharts, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.), Papel e caneta, quadro branco e pincel ou outros meios físicos",Sim,"Excel, ggplot2, Gephi, Plotly, Python, R, Tableau, Pen & Paper, Matplotlib",Algumas vezes,"Microstrategy, Uso todas as que quero","Embutida numa página Web interativa, Dashboard, Notebook interativo, Apresentação, Documento, Página Web Estática","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de Pizza, Gráfico de dispersão (scatter plot), Gráfico de pontos, Mapa de densidade, Mapa temático (choropleth), Diagrama de redes/grafos (nós e arestas), Diagrama de Fluxo (sankey, etc)","Público em geral, Analistas, Cientistas, Médicos e outros profissionais de saúde, Gerentes, Executivos, Designers","Básico, Intermediário","Jornalismo/Comunicação/Explicação, Análise, Pesquisa, Educação",A maior parte de modo autodidata,"Livros, Workshops ou cursos presenciais, Disciplina na educação formal, Exemplos, Tutoriais em vídeo, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas, Ensinando outras pessoas",Não,"Matemática, Design, Comunicação",Sim,"Oriento colegas no trabalho, Participo de fóruns de perguntas e respostas, Ministro cursos (fora do meu ambiente de trabalho), Ministro cursos como parte do meu trabalho",Não,Não entro em clubes que me aceitem como sócio
10/3/2019 16:04:31,Ceará (CE),Fortaleza,Feminino,Entre 35 e 45 anos,Pós-graduação: Doutorado,Ciência da Computação,Setor Público,Educação,Professor,9,Visualização de dados é o principal foco do meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Professor,Entre R$10.000 e R$15.000,"Análise, Comunicação, Educação","Ferramentas de Visualização Analítica (Tableau, PowerBI, Qlik, etc.), Ferramentas de Visualização na Web (RAWGraphs, Flourish, etc.), Notebooks interativos (tipo Observable, jupyter, ipython, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.), Editores gráficos (Adobe Illustrator, Inkscape, etc.), Papel e caneta, quadro branco e pincel ou outros meios físicos",Sim,"D3, Angular, ggplot2, Illustrator, Leaflet, Python, R, Tableau, Pen & Paper, Matplotlib",Raramente,Power BI,"Embutida numa página Web interativa, Dashboard, Notebook interativo, Apresentação, Documento","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de Pizza, Gráfico de dispersão (scatter plot), Gráfico de pontos, Mapa de densidade, Mapa temático (choropleth), Diagrama de redes/grafos (nós e arestas), Diagrama de Fluxo (sankey, etc)","Público em geral, Cientistas, Gerentes, Executivos","Básico, Intermediário, Avançado","Análise, Pesquisa, Educação",A maior parte em ambiente formal,"Livros, Workshops ou cursos presenciais, Disciplina na educação formal, Exemplos, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas, Ensinando outras pessoas",Não,"Matemática, Programação, Design, Comunicação",Sim,"Oriento colegas no trabalho, Ministro cursos (fora do meu ambiente de trabalho), Ministro cursos como parte do meu trabalho",Sim,Data Visualization Society
10/3/2019 16:05:44,Rio Grande do Norte (RN),Natal,Masculino,Entre 55 e 65 anos,Pós-graduação: Doutorado,,Setor Público,Educação,Professor do magistério de ensino  superior,22,Visualização de dados é o principal foco do meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Professor,Entre R$10.000 e R$15.000,Machine Learning,"Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.)",Sim,"Excel, Python, QGIS, R",Nunca,"Plotly, Processing","Apresentação, Documento, Ferramenta","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de Pizza, Gráfico de pontos, Mapa temático (choropleth)",Cientistas,Avançado,Pesquisa,A maior parte em ambiente formal,"Disciplina na educação formal, Tutoriais em vídeo, Trabalhando em equipe com pessoas especialistas, Ensinando outras pessoas",Não,"Matemática, Programação",Sim,"Oriento colegas no trabalho, Ministro cursos como parte do meu trabalho",Sim," INTERSCITY,   http://interscity.org/"
10/3/2019 16:07:56,São Paulo (SP),São Paulo,Masculino,Entre 45 e 55 anos,Pós-graduação: Mestrado,GRAD Arquitetura/ MEST Semiótica,Sou trabalhador autônomo (free-lancer),Jornalismo,Designer,22,Visualização de dados é o principal foco do meu trabalho,Sim,Designer,Entre R$10.000 e R$15.000,Comunicação,"Ferramentas de Visualização Analítica (Tableau, PowerBI, Qlik, etc.), Ferramentas de Visualização na Web (RAWGraphs, Flourish, etc.), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.), Editores gráficos (Adobe Illustrator, Inkscape, etc.), Papel e caneta, quadro branco e pincel ou outros meios físicos",Sim,"D3, Excel, Gephi, Illustrator, Java, Mapbox, Microstrategy, Processing, QGIS, Qlik, R, Semiotic, Tableau, Pen & Paper, Other physical materials, P5/Processing",Raramente,"ArcGis, ggplot2, Python, Matplotlib","Embutida numa página Web interativa, Dashboard, Apresentação, Documento","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de Pizza, Gráfico de dispersão (scatter plot), Gráfico de pontos, Mapa de densidade, Diagrama de redes/grafos (nós e arestas), Diagrama de Fluxo (sankey, etc), Invento novos tipos de visualização misturando as conhecidas","Público em geral, Analistas, Cientistas, Médicos e outros profissionais de saúde, Designers",Básico,"Jornalismo/Comunicação/Explicação, Análise, Pesquisa, Educação",A maior parte de modo autodidata,"Livros, Disciplina na educação formal, Tutoriais em vídeo, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas",Não,"Design, Comunicação",Sim,"Oriento colegas no trabalho, Ministro cursos (fora do meu ambiente de trabalho), Ministro cursos como parte do meu trabalho",Sim,Malofiej
10/3/2019 16:13:44,Distrito Federal (DF),Brasilia,Masculino,Entre 45 e 55 anos,Pós-graduação: Doutorado,Administração,Setor Público,Economia,Cientista de Dados,2,"Visualização de dados tem um papel secundário, mas não é o foco do meu trabalho","Não, Visualização de Dados é apenas uma das minhas atribuições",Analista,Acima de R$25.000,"Análise, Machine Learning, Comunicação, Educação","Ferramentas de Visualização Analítica (Tableau, PowerBI, Qlik, etc.), Bibliotecas de gráficos (plotly, highcharts, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.), Papel e caneta, quadro branco e pincel ou outros meios físicos",Sim,"ggplot2, Plotly, Qlik, R",Algumas vezes,"D3, Highcharts, Leaflet","Embutida numa página Web interativa, Dashboard, Notebook interativo, Apresentação, Ferramenta","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de dispersão (scatter plot), Gráfico de pontos, Mapa de densidade, Diagrama de redes/grafos (nós e arestas)","Público em geral, Analistas","Básico, Intermediário","Jornalismo/Comunicação/Explicação, Análise",A maior parte de modo autodidata,"Exemplos, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas",Não,"Matemática, Programação, Design",Sim,"Oriento colegas no trabalho, Participo de fóruns de perguntas e respostas, Postagens em blogs e outras mídias",Não,Não participo
10/3/2019 16:25:39,Espírito Santo (ES),Vitória,Masculino,Entre 35 e 45 anos,Pós-graduação: Doutorado,Matemática,Setor Público,Educação,Professor,5 anos,"Visualização de dados tem um papel secundário, mas não é o foco do meu trabalho","Não, Visualização de Dados é apenas uma das minhas atribuições",Professor,Entre R$10.000 e R$15.000,Análise,"Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.), Editores gráficos (Adobe Illustrator, Inkscape, etc.), Papel e caneta, quadro branco e pincel ou outros meios físicos",Sim,"Excel, Python, Matplotlib",Raramente,Java,Apresentação,"Gráfico de barras / histograma, Gráfico de pontos, Diagrama de redes/grafos (nós e arestas)",Cientistas,Avançado,"Pesquisa, Educação","Metade formalmente, metade autodidata",Exemplos,Não,"Matemática, Programação",Sim,Oriento colegas no trabalho,Sim,Grupo de pesquisa
10/3/2019 16:35:40,Rio Grande do Norte (RN),Angicos,Masculino,Entre 18 e 25 anos,Graduação,Bacharel de Sistemas da Informação,Sou trabalhador autônomo (free-lancer),Tecnologia,Digitador,1,"Visualização de dados tem um papel secundário, mas não é o foco do meu trabalho","Não, Visualização de Dados é apenas uma das minhas atribuições",Estudante,Menos de R$2.000,Análise,"Notebooks interativos (tipo Observable, jupyter, ipython, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.)",Sim,"D3, Python, R, Matplotlib",Raramente,"Angular, ggplot2, Mapbox, React, WebGL","Dashboard, Notebook interativo","Gráfico de barras / histograma, Gráfico de Pizza, Gráfico de dispersão (scatter plot)",Público em geral,Básico,"Análise, Educação","Metade formalmente, metade autodidata","Livros, Disciplina na educação formal, Exemplos, Tutoriais em vídeo, Praticando diretamente em um projeto",Sim,"Matemática, Programação, Estatística ",Sim,Participo de fóruns de perguntas e respostas,Não,não
10/3/2019 16:40:50,Santa Catarina (SC),Joinville,Masculino,Entre 45 e 55 anos,Pós-graduação: Doutorado,Eng. Elétrica,Setor Público,Educação,Professor,6 meses,Visualização de dados é apenas uma da lista de coisas que faço no meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Cientista,Entre R$10.000 e R$15.000,"Análise, Educação",Ainda definindo qual utilizar em projeto de IC,Sim,"Excel, Java, Vue",Algumas vezes,Não sei responder,"Embutida numa página Web interativa, Apresentação, Documento","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de Pizza","Público em geral, Cientistas, Médicos e outros profissionais de saúde",Básico,"Análise, Pesquisa, Educação",A maior parte de modo autodidata,"Livros, Workshops ou cursos presenciais, Disciplina na educação formal, Exemplos, Tutoriais em vídeo, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas, Ensinando outras pessoas",Não,"Matemática, Programação, Design, Comunicação",Não,,Não,A resposta foi NÂO
10/3/2019 16:41:52,São Paulo (SP),Primavera ,Masculino,Entre 18 e 25 anos,Graduação,Engenharia de Energia,Setor Público,Educação,Estudante ,1 ano ,"Visualização de dados tem um papel secundário, mas não é o foco do meu trabalho","Não, Visualização de Dados é apenas uma das minhas atribuições",Engenheiro,Menos de R$2.000,"Análise, Machine Learning","Notebooks interativos (tipo Observable, jupyter, ipython, etc)",Sim,"Excel, Python",Algumas vezes,"Java, R","Notebook interativo, Apresentação, Documento","Gráfico de barras / histograma, Gráfico de dispersão (scatter plot), Gráfico de pontos","Engenheiros, Cientistas",Avançado,"Análise, Pesquisa","Metade formalmente, metade autodidata","Exemplos, Tutoriais em vídeo, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas",Sim,"Matemática, Programação",Sim,Oriento colegas no trabalho,Não,Nao
10/3/2019 16:47:34,Rio de Janeiro (RJ),Rio de Janeiro,Feminino,Entre 25 e 35 anos,Graduação,Design gráfico ,Setor Privado,Jornalismo,Editora assistente,10,Visualização de dados é apenas uma da lista de coisas que faço no meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições","Líder (gerente, diretor, coordenador, etc.)","Entre R$5.000,00 e R$10.000",Comunicação,"Ferramentas de Visualização Analítica (Tableau, PowerBI, Qlik, etc.), Ferramentas de Visualização na Web (RAWGraphs, Flourish, etc.), Editores gráficos (Adobe Illustrator, Inkscape, etc.)",Sim,"Illustrator, Datawrapper",Raramente,"D3, Gephi","Embutida numa página Web interativa, Página Web Estática, Jornal impresso","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de Pizza, Diagrama de redes/grafos (nós e arestas), Diagrama de Fluxo (sankey, etc)",Público em geral,Básico,Jornalismo/Comunicação/Explicação,A maior parte de modo autodidata,"Tutoriais em vídeo, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas, Ensinando outras pessoas",Não,"Programação, Design",Sim,"Oriento colegas no trabalho, Ministro cursos (fora do meu ambiente de trabalho)",Não,Nao
10/3/2019 16:52:46,Ceará (CE),Fortaleza,Masculino,Entre 25 e 35 anos,Graduação,Ciências da Computação,Setor Público,Educação,Bolsista de Mestrado,1,Visualização de dados é o principal foco do meu trabalho,Sim,Estudante,Menos de R$2.000,Análise,"Bibliotecas de gráficos (plotly, highcharts, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.)",Sim,"D3, Leaflet, Python",Nunca,"React, Vue, WebGL",Embutida numa página Web interativa,"Gráfico de barras / histograma, Mapa de densidade, Mapa temático (choropleth)",Cientistas,"Intermediário, Avançado",Análise,"Metade formalmente, metade autodidata","Disciplina na educação formal, Tutoriais em vídeo, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas",Não,"Matemática, Programação, Design",Sim,Oriento colegas no trabalho,Sim,"Crab (Computer Graphics, Virtual Reality and Animations)"
10/3/2019 16:59:37,Rio Grande do Sul (RS),Gravataí,Masculino,Entre 25 e 35 anos,Pós-graduação: Mestrado,Ciência da Computação,Setor Público,Ciência,Bolsista,5,"Visualização de dados tem um papel secundário, mas não é o foco do meu trabalho","Não, Visualização de Dados é apenas uma das minhas atribuições",Analista,Entre R$2.000 e R$5.000,Análise,"Bibliotecas de gráficos (plotly, highcharts, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.)","Em parte, pelo menos posso escolher de uma lista de ferramentas","D3, VTK",Algumas vezes,"Plotly, React, Vue, WebGL, Matplotlib",Ferramenta,"Gráfico de linhas, Gráfico de Pizza",Cientistas,Básico,"Análise, Pesquisa","Metade formalmente, metade autodidata","Livros, Workshops ou cursos presenciais, Disciplina na educação formal, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas",Sim,"Matemática, Programação, Design",Sim,Oriento colegas no trabalho,Sim,
10/3/2019 17:49:19,Sergipe (SE),São Carlos,Masculino,Entre 18 e 25 anos,Graduação,Ciência da Computação,Setor Público,Ciência,Estudante de mestrado,2,Visualização de dados é o principal foco do meu trabalho,Sim,Estudante,Menos de R$2.000,"Análise, Machine Learning, Como auxílio para interação com métodos de ciência de dados","Notebooks interativos (tipo Observable, jupyter, ipython, etc), Bibliotecas de gráficos (plotly, highcharts, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.), Ferramentas próprias, desenvolvidas pela instituição.",Sim,"D3, Plotly, Python, Vue, Web Components, WebGL, Matplotlib, Orange3",Raramente,"Angular, R, Tableau","Embutida numa página Web interativa, Notebook interativo, Apresentação, Documento, Ferramenta, Página Web Estática","Gráfico de dispersão (scatter plot), Diagrama de Fluxo (sankey, etc)","Analistas, Cientistas","Básico, Intermediário","Análise, Pesquisa, Revisão de literatura","Metade formalmente, metade autodidata","Livros, Workshops ou cursos presenciais, Disciplina na educação formal, Exemplos, Tutoriais em vídeo, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas, Ensinando outras pessoas",Sim,"Matemática, Programação, Design, Criatividade",Sim,"Oriento colegas no trabalho, Ministro cursos (fora do meu ambiente de trabalho), Ministro cursos como parte do meu trabalho",Sim,"Faça mestrado em um departamento de visualização de dados, todo o grupo é composto por pessoas da área."
10/3/2019 18:05:31,São Paulo (SP),São Carlos,Masculino,Entre 25 e 35 anos,Pós-graduação: Mestrado,Ciência da Computação,Setor Público,Educação,Doutorando,3,Visualização de dados é o principal foco do meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Estudante,Entre R$2.000 e R$5.000,"Análise, Machine Learning, Comunicação, Educação","Bibliotecas de gráficos (plotly, highcharts, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.), Editores gráficos (Adobe Illustrator, Inkscape, etc.)",Sim,"D3, Python, R, Matplotlib",Raramente,"ggplot2, Plotly, Tableau, WebGL, Canvas","Embutida numa página Web interativa, Apresentação, Documento, Ferramenta","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de dispersão (scatter plot)","Analistas, Cientistas","Básico, Avançado","Análise, Pesquisa",A maior parte de modo autodidata,"Livros, Workshops ou cursos presenciais, Disciplina na educação formal, Exemplos, Tutoriais em vídeo, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas, Ensinando outras pessoas",Sim,"Matemática, Programação, Design, Comunicação",Sim,Oriento colegas no trabalho,Não,
10/3/2019 18:27:22,Rio de Janeiro (RJ),Rio de Janeiro ,Feminino,Entre 55 e 65 anos,Pós-graduação: Doutorado,Design,Setor Público,Educação,Professor ,9-10,Visualização de dados é o principal foco do meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Professor,,Educação,"Ferramentas de Visualização na Web (RAWGraphs, Flourish, etc.), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.), Editores gráficos (Adobe Illustrator, Inkscape, etc.), Papel e caneta, quadro branco e pincel ou outros meios físicos",Sim,"D3, Excel, Illustrator, Processing, Pen & Paper, Other physical materials",Raramente,,"Embutida numa página Web interativa, Documento, Ferramenta",,"Analistas, Cientistas, Designers","Básico, Intermediário","Jornalismo/Comunicação/Explicação, Análise, Pesquisa, Educação","Metade formalmente, metade autodidata","Livros, Workshops ou cursos presenciais, Exemplos, Tutoriais em vídeo, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas",Sim,"Programação, Design, Comunicação",Sim,Ministro cursos como parte do meu trabalho,Não,
10/3/2019 18:27:38,São Paulo (SP),São Paulo,Masculino,Entre 25 e 35 anos,Pós-graduação: Doutorado,Ciencia da Computação,Setor Público,Ciência,Posdoutorando,9,Visualização de dados é o principal foco do meu trabalho,Sim,Cientista,Entre R$10.000 e R$15.000,"Análise, Machine Learning, Comunicação","Notebooks interativos (tipo Observable, jupyter, ipython, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.)",Sim,"D3, Leaflet, Python, R, QT",Raramente,kepler.gl,"Embutida numa página Web interativa, Dashboard, Notebook interativo","Gráfico de linhas, Gráfico de pontos, Mapa de densidade, Mapa temático (choropleth)","Analistas, Cientistas",Intermediário,"Jornalismo/Comunicação/Explicação, Análise, Pesquisa","Metade formalmente, metade autodidata","Exemplos, Tutoriais em vídeo, Praticando diretamente em um projeto",Não,"Matemática, Programação, Percepcao e Psicofisica",Sim,"Oriento colegas no trabalho, Participo de fóruns de perguntas e respostas, Ministro cursos como parte do meu trabalho",Sim,VGTC
10/3/2019 18:35:37,Tocantins (TO),Araguaína,Feminino,Entre 35 e 45 anos,Pós-graduação: Doutorado,Matemática Aplicada,Sou trabalhador autônomo (free-lancer),Ciência,pesquisador,4 anos,"Visualização de dados tem um papel secundário, mas não é o foco do meu trabalho","Não, Visualização de Dados é apenas uma das minhas atribuições",Cientista,Entre R$2.000 e R$5.000,Machine Learning,"Notebooks interativos (tipo Observable, jupyter, ipython, etc), Bibliotecas de gráficos (plotly, highcharts, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.), Editores gráficos (Adobe Illustrator, Inkscape, etc.)",Sim,"ggplot2, Plotly, Python, R, Matplotlib",Raramente,"Java, kepler.gl, Processing, Web Components, WebGL","Notebook interativo, Apresentação, Documento, Ferramenta","Gráfico de dispersão (scatter plot), Gráfico de pontos, Mapa de densidade, Diagrama de Fluxo (sankey, etc)","Analistas, Cientistas",Básico,"Análise, Pesquisa","Metade formalmente, metade autodidata","Workshops ou cursos presenciais, Disciplina na educação formal, Exemplos, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas",Sim,"Matemática, Programação, Design",Sim,Oriento colegas no trabalho,Não,
10/3/2019 18:42:21,Pernambuco (PE),Recife,Masculino,Entre 25 e 35 anos,Pós-graduação: Doutorado,Design,Setor Público,Educação,Professor ,10 anos,Visualização de dados é o principal foco do meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Professor,Entre R$10.000 e R$15.000,"Comunicação, Educação, Design","Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.), Editores gráficos (Adobe Illustrator, Inkscape, etc.), Papel e caneta, quadro branco e pincel ou outros meios físicos",Sim,"D3, Excel, Illustrator, R",Algumas vezes,"D3, Angular, ggplot2, Leaflet, Mapbox, Plotly, Processing, Python, R, React, Vue, Web Components, WebGL, Matplotlib","Embutida numa página Web interativa, Página Web Estática, Banners em lona","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de pontos","Público em geral, Designers","Básico, Intermediário","Pesquisa, Educação",A maior parte de modo autodidata,"Livros, Workshops ou cursos presenciais, Tutoriais em vídeo, Praticando diretamente em um projeto",Não,"Matemática, Programação, Design",Sim,"Oriento colegas no trabalho, Participo de fóruns de perguntas e respostas, Postagens em blogs e outras mídias, Ministro cursos (fora do meu ambiente de trabalho), Ministro cursos como parte do meu trabalho",Sim,Datavizbr
10/3/2019 18:45:54,Distrito Federal (DF),Brasili,Masculino,Entre 25 e 35 anos,Pós-graduação: Mestrado,engenharia ambiental,Setor Público,Tecnologia,Assistente pesquisa,4,Visualização de dados é apenas uma da lista de coisas que faço no meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Analista,Entre R$2.000 e R$5.000,Análise,"Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.)","Em parte, pelo menos posso escolher de uma lista de ferramentas","ggplot2, Leaflet, QGIS, R",Raramente,"Mapbox, Plotly",Documento,"Gráfico de barras / histograma, Gráfico de linhas, Gráfico de Pizza, Gráfico de dispersão (scatter plot), Gráfico de pontos, Mapa de densidade","Analistas, Engenheiros",Avançado,"Análise, Pesquisa",A maior parte de modo autodidata,Praticando diretamente em um projeto,Não,"Programação, conhecimento da área de atuação",Sim,Postagens em blogs e outras mídias,Não,
10/3/2019 19:15:15,Ceará (CE),Fortaleza,Masculino,Entre 35 e 45 anos,Pós-graduação: Doutorado,Computação,Setor Público,Educação,Professor,5,Visualização de dados é o principal foco do meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Professor,Entre R$10.000 e R$15.000,"Análise, Educação","Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.), Papel e caneta, quadro branco e pincel ou outros meios físicos",Sim,"D3, Leaflet, Mapbox, kepler.gl, Processing, Python, Web Components, WebGL, P5/Processing",Raramente,"Angular, R, React, Vue","Embutida numa página Web interativa, Documento","Gráfico de barras / histograma, Gráfico de linhas, Mapa de densidade, Mapa temático (choropleth), Diagrama de redes/grafos (nós e arestas)","Público em geral, Analistas, Cientistas","Básico, Intermediário","Análise, Pesquisa, Educação",A maior parte em ambiente formal,"Livros, Disciplina na educação formal, Exemplos, Trabalhando em equipe com pessoas especialistas, Ensinando outras pessoas",Não,"Matemática, Programação, Design, Comunicação",Sim,Oriento colegas no trabalho,Não,
10/3/2019 19:47:43,São Paulo (SP),São Paulo,Masculino,Entre 25 e 35 anos,Pós-graduação: Especialização,,Setor Privado,Jornalismo,,9,"Visualização de dados tem um papel secundário, mas não é o foco do meu trabalho","Não, Visualização de Dados é apenas uma das minhas atribuições",Desenvolvedor,"Entre R$5.000,00 e R$10.000","Análise, Comunicação","Ferramentas de Visualização na Web (RAWGraphs, Flourish, etc.), Notebooks interativos (tipo Observable, jupyter, ipython, etc), Bibliotecas de gráficos (plotly, highcharts, etc), Bibliotecas de propósito geral (D3, ggplot2, matplotlib, processing, etc.), Editores gráficos (Adobe Illustrator, Inkscape, etc.), Papel e caneta, quadro branco e pincel ou outros meios físicos","Em parte, pelo menos posso escolher de uma lista de ferramentas","D3, Gephi, Highcharts, Illustrator, Leaflet, Mapbox, kepler.gl, Python, QGIS, R, React, Tableau, Vega, Web Components, WebGL, Pen & Paper, Greensock, Canvas",Raramente,,"Embutida numa página Web interativa, Dashboard, Página Web Estática","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de Pizza, Gráfico de dispersão (scatter plot), Mapa de densidade, Mapa temático (choropleth), Diagrama de redes/grafos (nós e arestas), Diagrama de Fluxo (sankey, etc)",Público em geral,"Básico, Intermediário",Jornalismo/Comunicação/Explicação,A maior parte de modo autodidata,"Exemplos, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas",Não,"Programação, Design, Comunicação",Sim,"Oriento colegas no trabalho, Participo de fóruns de perguntas e respostas",Sim,Data Visualization Society
10/3/2019 19:57:18,São Paulo (SP),São Paulo,Masculino,Entre 18 e 25 anos,Graduação,Design,Setor Privado,Jornalismo,Designer de informação,2 anos,Visualização de dados é o principal foco do meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Designer,Entre R$2.000 e R$5.000,"Comunicação, Educação","Ferramentas de Visualização na Web (RAWGraphs, Flourish, etc.), Editores gráficos (Adobe Illustrator, Inkscape, etc.), Papel e caneta, quadro branco e pincel ou outros meios físicos","Em parte, pelo menos posso escolher de uma lista de ferramentas",Illustrator,Raramente,"QGIS, R, Tableau","Embutida numa página Web interativa, Página Web Estática","Gráfico de barras / histograma, Gráfico de linhas, Gráfico de Pizza, Gráfico de dispersão (scatter plot)",Público em geral,Intermediário,Jornalismo/Comunicação/Explicação,A maior parte em ambiente formal,"Exemplos, Tutoriais em vídeo, Praticando diretamente em um projeto, Trabalhando em equipe com pessoas especialistas",Não,"Programação, Design, Comunicação",Sim,Oriento colegas no trabalho,Não,
10/3/2019 21:28:56,Ceará (CE),Fortaleza ,Prefiro não dizer,Entre 18 e 25 anos,Ensino médio,,Setor Privado,Tecnologia,estagiário ,1,Visualização de dados é apenas uma da lista de coisas que faço no meu trabalho,"Não, Visualização de Dados é apenas uma das minhas atribuições",Analista,Menos de R$2.000,"Análise, Comunicação","Ferramentas de Visualização Analítica (Tableau, PowerBI, Qlik, etc.), ferramentas proprietárias da organização ",Não,"Java, programas próprios da empresa ",Raramente,"Power BI, Python, Tableau","Embutida numa página Web interativa, Dashboard","tabelas, mapas de calor ","Analistas, Gerentes, Executivos",Básico,"Jornalismo/Comunicação/Explicação, Análise",A maior parte de modo autodidata,"Livros, Praticando diretamente em um projeto, Ensinando outras pessoas",Sim,"Programação, Design, Comunicação",Sim,Oriento colegas no trabalho,Não,
